"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FECAFAII_01604",4391.273598101,0.16687400197516,0.062794181776238,2.65747553761911,0.00787283038231083,0.0103958953992314
"FECAFAII_03012",256.577286160503,-0.362383987697764,0.136412493394906,-2.65653078159552,0.00789492430757254,0.010420285593657
"FECAFAII_01518",1901.46994994842,-0.185364423990457,0.0698524306776619,-2.65365746320026,0.00796246101103474,0.0105046045264844
"FECAFAII_01687",3.10280223919573,4.12064277181538,1.55293307099975,2.65345805866739,0.00796716711250463,0.0105059938631652
"apc1",158.122240051063,-0.441398265151404,0.16640797982824,-2.65250660218939,0.00798965653747978,0.0105308213573748
"fabG_3",27.4878653377062,-1.12817556721847,0.425412612646382,-2.6519560861169,0.00800269494366539,0.0105431748318743
"malL_1",410.764418319194,-0.328968075896188,0.124352156087391,-2.64545534429657,0.00815810541712692,0.0107429996243851
"FECAFAII_00426",257.950457570896,-0.363539397675721,0.137854877584748,-2.63711668419008,0.00836140646630879,0.0110056773442124
"frlB_1",95.7355738606452,-0.644955827789819,0.244715278722485,-2.63553559531205,0.00840046145273584,0.01105202522327
"fruA_4",55.4331520591343,0.731281849343324,0.277987401753614,2.63062946281095,0.00852269017079576,0.0112077077874753
"FECAFAII_00363",52.4231867052653,-0.741131588557702,0.282733735867823,-2.62130582430452,0.00875936453334059,0.011513680254976
"pgl_1",46.8549261505226,-0.826518887335698,0.316704373850357,-2.60974888754214,0.00906087073913644,0.0119045519624287
"FECAFAII_00398",1510.77408797854,-0.229238501636163,0.0880365824534922,-2.60390050644304,0.00921695087598954,0.012103242572249
"uxaA",215.562775749502,0.419162011715516,0.160982860156945,2.60376794962438,0.00922051615987401,0.012103242572249
"FECAFAII_02572",1354.08253900806,-0.233306757603417,0.0898235959314887,-2.59738830519953,0.00939356653953134,0.0123247706969398
"FECAFAII_01966",144.810500313453,-0.47541145248473,0.183109087298477,-2.59632910358941,0.00942257658182033,0.0123571957361219
"FECAFAII_02874",25.7036037427297,-1.07147994515659,0.414279501580445,-2.58636968778077,0.00969928383980107,0.0127142845593746
"FECAFAII_03070",24.8796795554886,1.11530878589579,0.431377816339069,2.58545697913019,0.0097250008250483,0.0127421878691749
"FECAFAII_02391",2481.9074446115,0.214585906648133,0.0831144862452792,2.58181114198154,0.00982833525276158,0.0128717177536167
"FECAFAII_01677",566.320382446759,0.324570307971809,0.125830953029525,2.57941547892157,0.0098967674062899,0.0129554406283522
"FECAFAII_02301",6.38517846323853,-2.34768831282766,0.912385820206349,-2.57313108208619,0.0100783028765926,0.0131870787411649
"banIM",19.374115425848,1.29614470284626,0.503802448352168,2.57272410462808,0.010090160705115,0.0131965903537566
"atpB",11516.8936175486,-0.143214978614978,0.0557219858771351,-2.57017003899972,0.0101648608389517,0.0132882453512841
"FECAFAII_01624",149.188600745918,0.469348395509051,0.182654578964511,2.56959556212519,0.0101817305499175,0.0133042512774025
"folA_3",755.381374958881,-0.235172705888203,0.0919643216155705,-2.55721677447122,0.0105513441879342,0.0137809563508169
"mnmA",11923.8677989956,0.154691564428226,0.0606206950471938,2.55179463560747,0.0107169667303418,0.0139909197986668
"FECAFAII_00772",3467.19255262547,-0.230757108469938,0.0905014807283862,-2.5497605852714,0.010779691769171,0.0140664217459781
"steT_1",66.9532799505921,-0.661444606456382,0.259792098541161,-2.54605359505029,0.0108948459676984,0.0142102390036738
"FECAFAII_00053",12.2140854737797,-1.5216528747538,0.597798900093848,-2.54542601954423,0.0109144488604795,0.0142293539994284
"ftsH",55758.4964676645,0.224612746640909,0.0882891772109052,2.54405753611628,0.0109573034238376,0.0142787515391739
"FECAFAII_02331",1.96933339019922,4.49005208204232,1.76722212677418,2.54074007676572,0.0110618120714706,0.0144084110133829
"ywnA",745.094814384019,0.237213916282826,0.0935801925743588,2.53487313668794,0.0112488055531558,0.0146453439433573
"ecdB",70.7679005911732,-0.711092514121308,0.281256987353065,-2.5282661270515,0.0114627427534263,0.0149171258637348
"araB",57.0793188717535,-0.699037803877501,0.276689966503957,-2.52642989809138,0.0115228382367039,0.0149885494205158
"rspR_1",939.933900359463,0.225870929733991,0.0894266917593402,2.52576636002416,0.0115446229629373,0.015010097487074
"FECAFAII_02560",5.42377357353,2.58674030066631,1.02836380269314,2.51539415709887,0.0118899372347655,0.0154520829133238
"FECAFAII_00841",26.0509419806771,0.995401524518019,0.395762023896053,2.51515169322931,0.0118981178096232,0.0154557302712178
"FECAFAII_02652",11462.9405015695,0.149249036444472,0.059814156078582,2.49521260900836,0.0125881680119743,0.0163447274051639
"manR_2",531.439334066894,-0.259775595085337,0.104290817908719,-2.49087695632712,0.0127428241250353,0.0165380695774375
"rex_1",6521.87096290276,0.14583542240978,0.0585920804075269,2.48899546483838,0.012810459986289,0.016618350437784
"rpmGA_1",98.6258329341231,0.540153915572778,0.217163125285666,2.48731876032008,0.0128710016567972,0.016689360128471
"bfrA",248.156751555845,-0.340647402802317,0.13701111009806,-2.48627576667698,0.0129087891782424,0.016730814635703
"radA",10148.6462870793,-0.181957107687136,0.073327672551226,-2.48142483398778,0.0130858306185526,0.0169526346211519
"FECAFAII_01369",20.1153240361111,-1.23770558892422,0.498963609942748,-2.4805528184034,0.0131178827385768,0.0169865064187965
"FECAFAII_03071",10.5378453668448,1.67258196406799,0.676850008898791,2.47112645649399,0.0134688181472948,0.0174330877550045
"FECAFAII_00636",100.117032630262,0.539073385554746,0.220017190353056,2.45014212157563,0.0142799838200029,0.0184746889187262
"argR_3",3547.27688823141,0.192020405202495,0.0786879172650372,2.4402781504018,0.0146759570668686,0.0189784408832347
"yfnB_1",1836.14908860437,0.170886071542884,0.0700745254035326,2.43863330588136,0.014742919932603,0.0190564663937826
"FECAFAII_02838",54.761568809598,-0.671974515063283,0.275828564398787,-2.43620350389728,0.0148423317175595,0.0191763459208002
"FECAFAII_02917",168.829709018686,0.440469990873929,0.180816565593404,2.43600462948952,0.0148504944637255,0.0191782766401771
"FECAFAII_02820",18.3031212147213,-1.40503980447824,0.577056755603018,-2.43483815211554,0.0148984519035046,0.0192315743601792
"FECAFAII_00355",7406.71514176305,0.143130516435556,0.0588669328178602,2.43142473344781,0.0150395727141986,0.0194042777095359
"rnhC",1113.08226064442,-0.190778060822339,0.078468277123027,-2.43127627898885,0.0150457368888265,0.0194042777095359
"FECAFAII_00985",100.21051387022,-0.563440107312883,0.232890194375312,-2.41933804394047,0.0155487829721166,0.0200440608820293
"melR",3699.79631889907,-0.159055213325112,0.0658959296932171,-2.4137335047188,0.0157900066267758,0.0203448208810168
"pemA",59.0195721497758,-0.676755691954934,0.280393844333002,-2.41358969047553,0.0157962395783416,0.0203448208810168
"yfkJ",8735.50121152469,-0.14554021343643,0.0604605525778379,-2.40719290894769,0.0160756757766796,0.0206954536856448
"FECAFAII_02882",46.346684900376,-0.752352590108138,0.312627175357342,-2.40654891644713,0.0161040471886074,0.0207227023330805
"def_2",3648.29464675101,-0.175289302055141,0.0729450686865146,-2.40303155801328,0.0162597841769692,0.0209137474476581
"ldtA",7573.56600514861,-0.141952009855274,0.0591344252393374,-2.40049699106308,0.0163728253574783,0.0210497298739864
"FECAFAII_02888",126.319339988956,0.43977359796861,0.183480776702171,2.39683745552516,0.0165372579298839,0.0212516326212449
"nox_2",642.275796010342,0.216814042879531,0.0916969442718408,2.36446311925918,0.0180562250583571,0.023193257377327
"FECAFAII_00292",2846.80332990838,-0.160123648677695,0.067938324469984,-2.35689722887469,0.0184283461918837,0.0236606801999364
"murA1_1",31666.3839626987,0.128415230220696,0.0545069800194375,2.35594102213886,0.0184758508329922,0.0237110874590296
"rhaB",180.210381601776,0.37540434720015,0.159544404621579,2.35297720462568,0.0186237757561038,0.0238902672054212
"FECAFAII_02619",1257.49039902136,-0.200156238397534,0.0851651881877871,-2.35021189592389,0.0187627264541933,0.0240577803309228
"FECAFAII_03094",25.6359380255522,0.956243867039376,0.407657641109385,2.34570328287503,0.0189912193012933,0.0243399049512119
"FECAFAII_02298",270.865655995792,-0.313969216828599,0.134025682332075,-2.34260487516622,0.0191496512077111,0.0245320253333528
"FECAFAII_02875",8.44729739801224,-1.80343794194624,0.773012051606385,-2.33300106796335,0.0196480892648541,0.0251593520595371
"FECAFAII_00437",12.0644047929495,-1.38233862112954,0.59378436786156,-2.32801450484097,0.0199113334772697,0.025485089043448
"yteR",31.7909648092605,-0.987230498363007,0.424423695914712,-2.32604943565967,0.0200159135676408,0.0256075477849354
"yurK",210.522484148263,0.346151969039568,0.149598225369087,2.313877508811,0.0206744421622727,0.0264382817513101
"FECAFAII_00111",82.0831226446389,-0.548279367303916,0.237141227270199,-2.31203731892306,0.0207756268367233,0.0265558679032962
"FECAFAII_02107",51.2736325527804,0.680416777633072,0.294852231387799,2.30765347927167,0.021018417471612,0.0268542730556891
"FECAFAII_00195",826.644379022895,-0.249838818493854,0.108379149320424,-2.30522955808781,0.021153720280723,0.0270151418860387
"mprF_1",9853.94105341906,0.120281231886951,0.0525798431036965,2.28759206545626,0.0221612884041877,0.0282893322017061
"yehU_2",130.370479969244,0.409790598211266,0.181104066388021,2.26273548896068,0.0236519997440368,0.0301788603655057
"FECAFAII_01553",12.5341498691925,1.30686956627636,0.577888012079362,2.26145817002496,0.0237309001578786,0.0302627099375623
"xylB_1",1896.87327718092,-0.154997727012828,0.0685426937155723,-2.26133112970455,0.0237387599510225,0.0302627099375623
"araQ_3",66.0392947851425,0.638238897748744,0.282820772858469,2.25669031060931,0.024027432723466,0.0306171451097423
"atpD",30030.4170417807,-0.130544458312314,0.058045971614468,-2.24898394636874,0.0245135174577281,0.0312227086839796
"FECAFAII_00297",6.16757035088736,-2.23552109929088,0.995241035680565,-2.24621073603762,0.0246905128914423,0.0314342253544879
"FECAFAII_00362",62.0758808170456,-0.578654913844212,0.257657334020802,-2.24583133270134,0.0247148135458227,0.0314512406007903
"yesS",141.560962293013,-0.397512400013249,0.177253797004258,-2.24261712150347,0.024921515196015,0.0317002555080668
"sdrD",1614.53901281688,-0.169341569757092,0.0758585549993305,-2.23233318586923,0.0255929501062288,0.0325399312579637
"FECAFAII_00982",65.5010809168373,0.56600110598912,0.254073856158212,2.22770305669179,0.0259003230566161,0.0329161860852089
"FECAFAII_02823",104.068094443419,-0.494484445231963,0.222153391156426,-2.2258694438915,0.0260229276154128,0.0330573939142789
"FECAFAII_00965",232.42052157669,0.315750834268985,0.142253857465974,2.21962932952106,0.0264439396472921,0.0335773820863629
"tqsA_2",1321.40735205403,0.169549481422601,0.0765003425817518,2.216323165369,0.0266693776176861,0.0338486893329502
"immR",591.78903315234,-0.240539668084254,0.108590066814328,-2.21511667817222,0.0267520569593018,0.033938648352427
"rsuA",4352.49476218466,0.144468309652505,0.0653526350959578,2.21059654963233,0.027063787910008,0.0343189832580172
"FECAFAII_02031",16.7759584261798,-1.14099075770763,0.518941529256765,-2.19868847140019,0.0279000812598707,0.0353638755854509
"FECAFAII_03013",335.390112633052,-0.263823329215804,0.120123652611424,-2.19626462799311,0.0280730079477965,0.0355673880431114
"arlR_1",1009.57595036225,-0.201534181816555,0.0918642699139489,-2.19382554289427,0.0282479537840222,0.0357732783279823
"FECAFAII_00900",29.1152071004969,-0.883807958304005,0.403194700173341,-2.19201283628986,0.0283785797805581,0.0359228853208121
"FECAFAII_02305",10.7660360469319,-1.40321450951088,0.64045366870528,-2.19096958621155,0.0284539934197536,0.0360025011329571
"FECAFAII_02304",23.4619243624144,-0.908856558834702,0.416728034051716,-2.18093452940561,0.0291882593189825,0.0369153182943683
"FECAFAII_01892",45.6157518284217,0.674934205300071,0.309519890280248,2.18058427420921,0.0292141793198153,0.0369318592192478
"FECAFAII_01594",9626.43585399836,0.124614038158548,0.0573474184794063,2.17296683029067,0.0297828138534302,0.0376341707567949
"hpaIIM",12.59947115674,-1.33647235542151,0.617407663812361,-2.16465138636128,0.0304143925946191,0.0384153680729576
"FECAFAII_00293",262.830014812323,0.304926175363185,0.140923090049773,2.16377724371135,0.0304814494294793,0.0384831644245752
"comGA",54.94656222366,-0.591876837792651,0.273808677875993,-2.16164382511175,0.030645640672654,0.0386734807259995
"kojP",98.7731824429941,-0.457888193120025,0.212036284704125,-2.15948036327349,0.030812919158237,0.0388675243417059
"FECAFAII_01901",288.92986803864,0.275964863659339,0.12840186133647,2.14922790672161,0.0316163381370184,0.0398634758799057
"FECAFAII_02394",33.23828576364,-0.792110533001448,0.36930275022962,-2.14488121875329,0.0319623452349002,0.0402820792706279
"lacL",156.431700532801,0.385947388632111,0.179962171067187,2.14460287038891,0.0319846126160419,0.0402924861514395
"licC_3",293.677619190604,0.267885920423548,0.125158435213185,2.14037447789477,0.0323245153966598,0.0407028486343229
"FECAFAII_00753",879.289878094812,-0.239525454986504,0.111982496780681,-2.13895440691609,0.0324393610542822,0.0408295852919543
"FECAFAII_01616",4878.07171363196,-0.126999551149152,0.0596653466487149,-2.12853118740554,0.0332930670010228,0.0418857658333077
"FECAFAII_00945",1311.12245949234,-0.170580314104301,0.0802745316075252,-2.12496181152815,0.033589799547536,0.0422406049404082
