"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"catM",674.356215287674,0.428153312034282,0.114078882390781,3.75313382338045,0.00017463756354061,0.000252137365834736
"cbh_3",6704.89511666998,0.427016043153318,0.0567174206741289,7.52883396455469,5.11954321724934e-14,9.75732690046991e-14
"ccpA_2",22598.3420279435,-0.391856837383649,0.0485016276647555,-8.0792512798163,6.51656256820121e-16,1.29431173661234e-15
"celA_1",451.630735263743,6.10224342403586,0.255966105548624,23.8400448018563,1.28448602760308e-125,7.8266563885306e-125
"celA_2",890.004187608375,0.495656683685451,0.101523244013524,4.88219903236566,1.04909286511798e-06,1.66236423144865e-06
"celA_3",3088.14139645051,5.80510626782044,0.118575506805392,48.9570436949332,0,0
"cfa",7986.33473960301,-2.38072535068368,0.0617263550990066,-38.5690252869312,0,0
"cfiB_1",55265.2723175416,-5.24134650339218,0.0597484056603718,-87.723621165485,0,0
"cfiB_2",39275.2845705141,-0.255225446565622,0.0695170420780303,-3.67140831854067,0.000241217608699006,0.000345743896081469
"chbC",7133.05541708703,7.40437826649921,0.231424813754421,31.9947465718021,1.29022826524314e-224,1.34445525030408e-223
"clcA",2716.71952338292,-0.41986339703022,0.0638026304507332,-6.58065966973616,4.68365550389232e-11,8.38219864915638e-11
"clpP_2",202.456318159098,5.97528250557095,0.357887385001295,16.6959852623733,1.40185790984624e-62,5.22246547761373e-62
"cmk",4373.51810797149,-2.2731288522989,0.0724894337408928,-31.3580715835635,7.55172438103207e-216,7.4892273516718e-215
"cmpD",5229.41505400691,2.32734926071934,0.0703869602511217,33.0650627959495,9.45035507004693e-240,1.04939077920676e-238
"coaA",7704.21067925925,-0.452129469886996,0.0597703080167495,-7.56444938781803,3.89510956731258e-14,7.45331677684031e-14
"coaBC_1",2635.78319208056,0.400433736128127,0.0709478828924734,5.64405475967497,1.66091208278871e-08,2.77719950587228e-08
"coaBC_2",1552.98050195376,0.363591941743003,0.0724931150617065,5.01553756427092,5.28853902411917e-07,8.44521834168058e-07
"copA",3508.96988616163,0.243194856471677,0.0662783283589058,3.66929677457683,0.0002432185980856,0.000348181527174806
"copY",635.330329755941,-0.377804773839316,0.0976692543330942,-3.86820577692586,0.00010963912442506,0.000159980782266094
"corA_2",7043.01526473382,7.43008028882467,0.117563515554407,63.2005622984802,0,0
"crtK-2",4368.53081046345,2.29664492276609,0.0708926490436475,32.3960940061935,3.11533963204615e-230,3.29401352270762e-229
"cspLA_1",21194.2187590322,-0.448935161333477,0.082123758527506,-5.46656862012853,4.58830850970286e-08,7.57518672440036e-08
"cspLA_2",60322.2095101162,-0.208310674424686,0.0566851512325717,-3.67487198843335,0.000237968698662342,0.000341345624614911
"ctc",11501.7298951777,2.18751876227776,0.0628215127706657,34.8211729676656,1.16318997494852e-265,1.40560267561006e-264
"cysL",2496.84809690001,0.377322277108072,0.0700937819570425,5.38310626953068,7.32112852779605e-08,1.19838165315546e-07
"dapA",4646.01938040544,2.83285634829706,0.0744999149833464,38.0249608194897,0,0
