"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"araQ_4",39.6170741503626,-0.294124788581453,0.324817581466839,-0.905507599844871,0.36519653551121,0.406622236209926
"araQ_5",13.9163677568972,-2.02457778754697,0.645401748734687,-3.13692640516727,0.0017072897630013,0.00234711537208018
"araQ_6",23.9054267989148,0.0293067982328401,0.43731012179378,0.067016052847412,0.946568923605654,0.953531427071755
"araQ_7",29.1845898917624,-0.0184383395854508,0.391928135841558,-0.0470452052284012,0.962477198830359,0.96718533327607
"araR_1",1043.38559299993,-0.0690379197693718,0.0786418399023738,-0.877877728383207,0.380010076780088,0.42246191759549
"araR_2",1636.23117809978,-0.0384976319528941,0.0701412708380298,-0.548858489344923,0.583102567366715,0.61973502725302
"arcC1",1191.81942357765,-2.27260099261319,0.0991967949772004,-22.9100243927793,3.69137784746295e-116,2.11482125284929e-115
"arcD1_1",2764.0450174476,4.83435344555001,0.0906886944558192,53.3071236118098,0,0
"arcD1_2",8078.78744507797,-0.114373924618399,0.0627902218313157,-1.82152445528321,0.0685271727088162,0.0835810639145697
"argR_2",2789.67538700968,-0.0722708683530466,0.0666361199538388,-1.08455997142558,0.27811659189302,0.315527936206835
"argR_3",3547.27688823141,0.192020405202495,0.0786879172650372,2.4402781504018,0.0146759570668686,0.0189784408832347
"argS",119285.083841411,3.08174456913838,0.0532027738617599,57.9245092961856,0,0
"arlR_1",1009.57595036225,-0.201534181816555,0.0918642699139489,-2.19382554289427,0.0282479537840222,0.0357732783279823
"arlR_2",9347.48975213181,0.128742058013837,0.0671013602459901,1.91862068878894,0.0550323553608014,0.0678119340264202
"arlS",18135.4396765238,0.0571662227853324,0.0604475417718081,0.94571625428768,0.344293329741041,0.384837783262819
"artM_1",12.5673638265057,-0.47374136767807,0.553889915903706,-0.855298777023466,0.392385764423926,0.43470780373005
"artM_2",10148.0207722927,0.442958567256738,0.0613766787495319,7.21705012850856,5.31273969935159e-13,9.96701850967721e-13
"asd",5257.59476918776,2.42214106870203,0.072901776138012,33.224719574961,4.73322940354649e-242,5.29679679556409e-241
"atpA",36585.7752014408,-0.0348154602094433,0.052613406655591,-0.661722219155023,0.508149262190981,0.547970482962603
"atpB",11516.8936175486,-0.143214978614978,0.0557219858771351,-2.57017003899972,0.0101648608389517,0.0132882453512841
"atpC",14394.0221758632,0.237210970705331,0.0697222102059484,3.40222964826627,0.000668384480302408,0.000940907374131045
"atpD",30030.4170417807,-0.130544458312314,0.058045971614468,-2.24898394636874,0.0245135174577281,0.0312227086839796
